line	section	text
79	Results	increased activity of RhoA and promotes metastasis. Disrupting the interaction between Rab22a-NeoF1 and SmgGDS-607 with
80	Results	a synthetic peptide prevents lung metastasis in an orthotopic model of osteosarcoma. Our findings may provide a promising
81	Results	strategy for a subset of osteosarcoma patients with lung metastases.
83	Results	868
86	Results	(RT–PCR) (Extended Data Fig. 1a). Whole-genome sequencing
87	Results	of ZOS and ZOS-M cells revealed that the RAB22A region was
89	Results	(Extended Data Fig. 1b,c). These fusions were derived from chro-
90	Results	moplexy involving multiple rearrangements between chromosome
91	Results	20 and chromosome 8 (Supplementary Table 1), which are similar to
92	Results	many of the EWSR1-ETS fusions associated with Ewing sarcoma26,27.
94	Results	when these fusion transcripts were overexpressed in 143B and U2OS/
95	Results	MTX300 cells (Extended Data Fig. 1d–f). To determine the fre-
96	Results	quency of RAB22A-NeoF1–6 fusions in osteosarcoma, we screened
97	Results	97 clinical samples using RT–PCR to find two that harboured simi-
98	Results	lar structural variations. Sanger sequencing confirmed that one
99	Results	was RAB22A-NeoF1 and the other was RAB22A-NeoF6 (Fig. 1b,c).
100	Results	Notably, 2 out of 37 (5.4%) osteosarcoma samples from patients
101	Results	with metastasis were positive for RAB22A-NeoF fusion transcripts,
102	Results	but all 60 osteosarcoma samples from patients without metastasis
103	Results	were negative for the transcripts. The 2 RAB22A-NeoF-positive
104	Results	patients had a median survival time of 9.5 months, whereas the 35
105	Results	RAB22A-NeoF-negative patients with metastasis had a median sur-
106	Results	vival time of 19 months (Supplementary Table 2).
107	Results	Since Rab22a-NeoF1–6 all contain Rab22a1–38, this suggests that
108	Results	residues 1–38 of Rab22a are crucial for their functions. Indeed,
109	Results	when stably expressed in 143B or U2OS/MTX300 cells, Rab22a1–38,
110	Results	Rab22a1–38 conjugated to green fluorescent protein (Rab22a1–38–
111	Results	GFP) and Rab22a-NeoF1 (the longest fusion transcript) promoted
112	Results	cell migration and invasion, but not cell proliferation (Fig. 1d
113	Results	and Extended Data Fig. 1g). Furthermore, using these stable cell
115	Results	Rab22a-NeoF1, Rab22a1–38 and Rab22a1–38–GFP promoted lung
116	Results	metastases, as indicated by increases in wet lung weight and the
117	Results	number of metastatic nodules in lungs (Fig. 1e–g and Extended Data
118	Results	Fig. 1h) and decreased the survival time of mice (Extended Data
119	Results	Fig. 1i,j). Similarly, Rab22a-NeoF2, Rab22a-NeoF3, Rab22a-NeoF4,
120	Results	Rab22a-NeoF5 and Rab22a-NeoF6 were able to drive lung metasta-
121	Results	ses of 143B cells stably expressing these fusion genes in this ortho-
122	Results	topic model of metastasis (Fig. 2a–d). These results demonstrate
123	Results	that Rab22a1–38 determines the functions of Rab22a-NeoF1–6 and
124	Results	drives osteosarcoma lung metastasis.
127	Results	fusions involving RAB22A in the cBio data portal, one of which
128	Results	has Rab22a1–38 fused to neurogenic differentiation factor 2 (neu-
129	Results	roD2) (Supplementary Table 3). A search of the Cancer Cell Line
130	Results	Encyclopedia (CCLE) RNA-seq dataset showed that the BT-474
131	Results	breast cancer cell line and HCC2935 lung cancer cell line contain
132	Results	fusions of RAB22A1–38 with MYO9B and TEF, respectively (hereafter
133	Results	referred to as RAB22A-MYO9B and RAB22A-TEF; Supplementary
134	Results	Table 4); this was further validated by RT–PCR and Sanger sequenc-
135	Results	ing (Fig. 2e). Using specific short interfering RNAs (siRNAs) or
136	Results	short hairpin RNAs (shRNAs) targeting the RAB22A-MYO9B
137	Results	and RAB22A-TEF sequences to knock down these fusion genes in
138	Results	BT-474 cells and HCC2935 cells, respectively (Fig. 2f–i), reduced
139	Results	cell migration and invasion (Fig. 2j). Lung metastases of BT-474 cells
140	Results	were also decreased when RAB22A-MYO9B was knocked down in
141	Results	a tail-vein-injection model (Fig. 2k–m). These results indicate that
142	Results	fusion genes that encode Rab22a1–38 occur and drive metastasis in
144	Results	RAB22A-NeoF1 is required for lung metastasis of osteosarcoma.
145	Results	Overexpression of the six Rab22a-NeoFs in U2OS cells revealed
146	Results	that the protein products of RAB22A-NeoF1 and RAB22A-NeoF5
147	Results	were more stable than those of RAB22A-NeoF2, RAB22A-NeoF3,
148	Results	RAB22A-NeoF4 and RAB22A-NeoF6, which were more eas-
150	Results	Fig. 2a). As RAB22A-NeoF1 and RAB22A-NeoF2 accounted for the
151	Results	majority of reads of RAB22A-NeoF1–6 transcripts (Extended Data
152	Results	Fig. 2b), the functions of endogenous RAB22A-NeoFs are likely to
153	Results	be dominated by RAB22A-NeoF1 in both ZOS and ZOS-M cells,
154	Results	although endogenous Rab22a-NeoF2–6 proteins were also detect-
155	Results	able in both cell types (Extended Data Fig. 2c). Therefore, we
156	Results	selected RAB22A-NeoF1 for further investigation in this study.
157	Results	We amplified full-length RAB22A-NeoF1 by 3′ and 5′ rapid
159	Results	ing sequence for Rab22a1–38 and inverted intron sequences from
160	Results	between exon 1 and exon 2 of DOK5. The predicted open read-
161	Results	ing frame corresponds to a coding sequence for 186 amino acids
162	Results	(Extended Data Fig. 2d). The presence of the RAB22A-NeoF1 tran-
164	Results	(FISH), showing that it is specific to osteosarcoma tissues and ZOS
165	Results	and ZOS-M cells (Fig. 3a and Extended Data Fig. 2e,f). To examine
166	Results	endogenous Rab22a-NeoF1 in cell lines and tumour tissues, we gen-
167	Results	erated a Rab22a-NeoF1-specific monoclonal antibody (RAD5-8)
168	Results	and a humanized version (hRAD5-8-v1-R5) using the sequence
169	Results	68QQKSTTPASNHGKSR82 as epitope (Extended Data Fig. 3a). Using
170	Results	ZOS-M cells as a positive control, we showed that hRAD5-8-v1-R5
171	Results	could detect endogenous Rab22a-NeoF1 immunoprecipitated by
172	Results	RAD5-8 antibody from RAB22A-NeoF1-positive T2 tumour tis-
173	Results	sues, but not from RAB22A-NeoF1-negative T3 tumour tissues, as
174	Results	indicated by RT–PCR (Figs. 1b and 3b), although the signal was
175	Results	relatively low, probably because the RAB22A-NeoF1-positive tis-
176	Results	sues made up a small proportion of the tumour tissues, as indi-
177	Results	cated by FISH (Fig. 3a). We also designed two siRNAs targeting
178	Results	the inverted intron sequence of DOK5, which efficiently knocked
179	Results	down RAB22A-NeoF1 expression without affecting mRNA levels of
180	Results	RAB22A or DOK5 (Extended Data Fig. 3b). Knockdown of endog-
181	Results	enous Rab22a-NeoF1 inhibited cell migration and invasion in both
183	Results	reintroduction of Rab22a-NeoF1 (Fig. 3c,d and Extended Data Fig.
184	Results	3c,d). Ectopic expression of Rab22a-NeoF1 increased migration and
185	Results	invasion in multiple osteosarcoma cell lines (Fig. 3e and Extended
186	Results	Data Fig. 3e,f). In an in  vivo orthotopic model of osteosarcoma
187	Fig. 1	Fig. 1 | Identification of the chromosomal translocation-derived aberrant Rab22a fusions as the driver for lung metastasis of osteosarcoma. a,
188	Fig. 1	Illustration of RAB22A-NeoF1–6 and their transcripts. Amino acids 1–38 of Rab22a were inversely juxtaposed with six inverted introns or untranslated
189	Fig. 1	regions of chromosome 20, which were designated as Rab22a-NeoF1–6. Length of the translation product in amino acids (aa) is shown. The longest,
190	Fig. 1	Rab22a-NeoF1, was formed by amino acids 1–38 of Rab22a conjugated to the inverted intron sequences between exon 1 and exon 2 of DOK5. Solid black
191	Fig. 1	arrows indicate the orientation of the fused gene. GTA, GAT, and GGATAA denote the start codon, stop codon and the last six bases of the RAB22A fusion
192	Fig. 1	DNAs, respectively. b,c, Left: RT–PCR of RAB22A-NeoF1 (b) and RAB22A-NeoF6 (c) from osteosarcoma tissues (T1 to T5 and T99). ZOS cells served as
193	Fig. 1	the positive control. M, size marker; NC, sterile ddH2O served as the negative control. Right: chromatogram from Sanger sequencing of the PCR product,
194	Fig. 1	showing the reading frame at the break points. Data are representative of n = 3 biologically independent experiments. d, Quantification of migration and
195	Fig. 1	invasion assays using stable cell lines expressing the indicated proteins. Data are mean ± s.d. of n = 3 biologically independent experiments. P values
196	Fig. 1	are shown; two-tailed Student’s t-test. Vector, vector-only control. e–g, The in vivo orthotopic model of osteosarcoma metastasis using stable cell lines
197	Fig. 1	expressing the indicated proteins (n = 6 biologically independent mice). e, Representative images of mice. f, Haematoxylin and eosin (H&E) staining of
198	Fig. 1	lungs of representative tumour-bearing nude mice. Scale bars, 5 mm. g, Quantification of lung nodules. Data are mean ± s.d. P values are shown; two-tailed
201	Fig. 1	869
204	Fig. 1	metastasis, ectopic Rab22a-NeoF1 promoted lung metastases
206	Fig. 1	Rab22a-NeoF1 had opposite effects (Fig. 3f–k and Extended Data
207	Fig. 1	Fig. 3g–k). These results were consistent with results obtained using
209	Fig. 1	metastasis (Extended Data Fig. 3l,m).
212	Fig. 1	safe28,29. To efficiently target RAB22A-NeoF1 using siRNA to inhibit
213	Fig. 1	lung metastasis of osteosarcoma in vivo, we used polyethylene glycol
214	Fig. 1	(PEG)-grafted polyethyleneimine (PEI) bearing RAB22A-NeoF1
215	Fig. 1	siRNA (RAB22A-NeoF1 siRNA-PEG-g-PEI). RAB22A-NeoF1
219	Fig. 1	T2
220	Fig. 1	T3
221	Fig. 1	T4
222	Fig. 1	T5
223	Fig. 1	T1
226	Fig. 1	400
229	Fig. 1	300
230	Fig. 1	200
231	Fig. 1	100
232	Fig. 1	Rab22a-NeoF1
234	Fig. 1	RAB22A exon2
235	Fig. 1	Inverse DOK5 intron1
238	Fig. 1	T99
241	Fig. 1	400
242	Fig. 1	300
243	Fig. 1	200
244	Fig. 1	100
245	Fig. 1	Rab22a-NeoF6
247	Fig. 1	RAB22A exon2
251	Fig. 1	143B
252	Fig. 1	U2OS/MTX300
254	Fig. 1	Rab22a-NeoF1
255	Fig. 1	Rab22a1–38
256	Fig. 1	Rab22a1–38–GFP
257	Fig. 1	5 mm
258	Fig. 1	5 mm
259	Fig. 1	5 mm
260	Fig. 1	5 mm
261	Fig. 1	5 mm
262	Fig. 1	5 mm
263	Fig. 1	5 mm
264	Fig. 1	5 mm
265	Fig. 1	Lung metastasis (nodules)
267	Fig. 1	Rab22a-NeoF1
268	Fig. 1	Rab22a1–38
269	Fig. 1	Rab22a1–38–GFP
271	Fig. 1	Rab22a-NeoF1
272	Fig. 1	Rab22a1–38
273	Fig. 1	Rab22a1–38–GFP
274	Fig. 1	0
275	Fig. 1	5
276	Fig. 1	10
277	Fig. 1	15
278	Fig. 1	20
279	Fig. 1	25
280	Fig. 1	143B
281	Fig. 1	U2OS/MTX300
282	Fig. 1	P = 0.0003
283	Fig. 1	P = 0.0036
284	Fig. 1	P = 0.0006
285	Fig. 1	P < 0.0001
286	Fig. 1	P < 0.0001
287	Fig. 1	P < 0.0001
288	Fig. 1	g
290	Fig. 1	Rab22a-NeoF1
291	Fig. 1	Rab22a1–38
292	Fig. 1	Rab22a1–38–GFP
293	Fig. 1	143B
294	Fig. 1	U2OS/MTX300
296	Fig. 1	143B
297	Fig. 1	U2OS/MTX300
298	Fig. 1	143B
299	Fig. 1	U2OS/MTX300
300	Fig. 1	0
301	Fig. 1	2
302	Fig. 1	4
303	Fig. 1	6
305	Fig. 1	Rab22a-NeoF1
306	Fig. 1	Rab22a1–38
307	Fig. 1	Rab22a1–38–GFP
310	Fig. 1	P = 0.0004
311	Fig. 1	P = 0.001
312	Fig. 1	P = 0.0043
313	Fig. 1	P = 0.0136
314	Fig. 1	P = 0.002
315	Fig. 1	P = 0.0037
316	Fig. 1	P = 0.0022
317	Fig. 1	P = 0.0002
318	Fig. 1	P = 0.0046
319	Fig. 1	P = 0.0005
320	Fig. 1	P = 0.0001
321	Fig. 1	P = 0.0005
323	Fig. 1	Exon1
324	Fig. 1	Exon2
325	Fig. 1	RAB22A
326	Fig. 1	Exon1
327	Fig. 1	Exon2
329	Fig. 1	Rab22a-NeoF1 (186 aa)
330	Fig. 1	Rab22a-NeoF2 (53 aa)
331	Fig. 1	Exon1
332	Fig. 1	DOK5
333	Fig. 1	Exon2
335	Fig. 1	Exon1
336	Fig. 1	Exon2
337	Fig. 1	Exon1
338	Fig. 1	Exon2
339	Fig. 1	Exon1
340	Fig. 1	Exon2
341	Fig. 1	Exon1
342	Fig. 1	Exon2
343	Fig. 1	Exon1
344	Fig. 1	Exon2
350	Fig. 1	Rab22a-NeoF3 (54 aa)
351	Fig. 1	Rab22a-NeoF4 (111 aa)
352	Fig. 1	Rab22a-NeoF6 (53 aa)
353	Fig. 1	Rab22a-NeoF5 (65 aa)
354	Fig. 1	20q13.2
355	Fig. 1	20q13.32
356	Fig. 1	GGATAA
357	Fig. 1	ATG
358	Fig. 1	AATAGG
360	Fig. 1	1
361	Fig. 1	38
362	Fig. 1	2.5
363	Fig. 1	2.0
364	Fig. 1	1.5
365	Fig. 1	Radiance (×107 p s–1 cm–2 sr–1)
366	Fig. 1	1.0
367	Fig. 1	0.5
369	Fig. 1	870
372	Fig. 1	siRNA-PEG-g-PEI impeded cell migration and invasion of ZOS-M
373	Fig. 1	cells that endogenously express Rab22a-NeoF1, but did not
374	Fig. 1	impede cell migration and invasion of U2OS/MTX300 cells that
375	Fig. 1	do not express Rab22a-NeoF1 (Fig. 3l). Of note, RAB22A-NeoF1
376	Fig. 1	siRNA-PEG-g-PEI inhibited lung metastasis of ZOS-M cells but not
377	Fig. 1	those of U2OS/MTX300 cells in the in vivo orthotopic model of
378	Fig. 1	osteosarcoma metastasis (Fig. 3m). Collectively, these results fur-
379	Fig. 1	ther indicate that the functions of endogenous Rab22a-NeoFs are
380	Fig. 1	dominated by Rab22a-NeoF1 in both ZOS and ZOS-M cells, and
381	Fig. 1	that Rab22a-NeoF1 is a potential therapeutic target in patients with
383	Fig. 1	Rab22a-NeoF1 promotes lung metastasis by activating RhoA.
384	Fig. 1	To investigate how Rab22a-NeoF1 drives metastasis, we per-
386	Fig. 1	etry (TAP–MS) to explore the Rab22a-NeoF1 protein interactome.
388	Fig. 1	tasis—such as RhoA, Cdc42 and Rac130,31—in the TAP–MS data
389	Fig. 1	(Extended Data Fig. 4a and Supplementary Table 5). To confirm
390	Fig. 1	the interaction between Rab22a-NeoF1 and Rho family members
391	Fig. 1	(RhoA, RhoB, RhoC, Rac1 and Cdc42), we performed coimmuno-
392	Fig. 1	precipitation using ectopically expressed proteins. Rab22a-NeoF1
393	Fig. 1	coimmunoprecipitated with RhoA, RhoB and RhoC but not
394	Fig. 1	with Rac1 or Cdc42, whereas wild-type Rab22a did not coim-
396	Fig. 1	Fig. 4b,c). Ectopic expression of Rab22a-NeoF1 also increased
399	Fig. 1	on RhoB or RhoC (Fig. 4a and Extended Data Fig. 4d). By con-
400	Fig. 1	trast, knockdown of Rab22a-NeoF1 decreased both RhoA–GTP
401	Fig. 1	and membrane-associated RhoA (Fig. 4b). In addition, complexes
402	Fig. 1	containing Rab22a-NeoF1 and RhoA were detectable at both
403	Fig. 1	ectopic and endogenous levels of Rab22a-NeoF1 (Extended Data
404	Fig. 1	Fig. 4e,f). These results indicate that RhoA is a key functional part-
405	Fig. 1	ner of Rab22a-NeoF1.
407	Fig. 1	ectopic Rab22a-NeoF1 was abrogated by treatment with short hair-
408	Fig. 1	pin RNAs targeting RhoA (shRhoA #1 and shRhoA #2) or with
409	Fig. 1	the RhoA inhibitor CT04 (Fig. 4c,d and Extended Data Fig. 4g–k).
410	Fig. 1	Knockout of RhoA using clustered regularly interspaced short pal-
411	Fig. 1	indromic repeats (CRISPR)–CRISPR-associated protein 9 (Cas9)
412	Fig. 1	with the single guide RNAs (sgRNAs) sgRhoA #1 and sgRhoA #2
413	Fig. 1	abolished Rab22a-NeoF1-induced enhancement of cell migration,
415	Fig. 1	reintroduced into these cells (Extended Data Fig. 5a–c). The impair-
417	Fig. 1	of Rab22a-NeoF1 was rescued by ectopic expression of RhoA in the
418	Fig. 1	cells (Fig. 4e,f). Furthermore, in both the orthotopic osteosarcoma
420	Fig. 1	promotion of lung metastases by ectopic Rab22a-NeoF1 was abro-
421	Fig. 1	gated by shRhoA #1 and shRhoA #2, and knockdown of RhoA pro-
422	Fig. 1	longed the survival of mice induced by Rab22a-NeoF1 (Fig. 4g–j
423	Fig. 1	and Extended Data Fig. 5d–g). Together, these results suggest that
424	Fig. 1	Rab22a-NeoF1 promotes osteosarcoma lung metastasis by activat-
425	Fig. 1	ing RhoA.
426	Fig. 1	Rab22a-NeoF1 constitutively binds to a negatively charged region
427	Fig. 1	of SmgGDS-607. We further mined the TAP–MS data for infor-
428	Fig. 1	mation on how RhoA is activated by Rab22a-NeoF1. We turned
429	Fig. 1	our attention to RAP1GDS1 (also known as SmgGDS and GDS1),
431	Fig. 1	RhoC32 (Extended Data Fig. 4a). We co-transfected two isoforms
432	Fig. 1	of SmgGDS, SmgGDS-558 and SmgGDS-607, with either Rab22a
433	Fig. 1	or Rab22a-NeoF1 tagged with S protein–Flag–streptavidin-binding
434	Fig. 1	peptide (SFB). Rab22a-NeoF1 exhibited stronger binding than
435	Fig. 1	Rab22a to both SmgGDS-558 and SmgGDS-607, with a preference
436	Fig. 1	for SmgGDS-607 (Fig. 5a). SmgGDS-607 was more highly expressed
437	Fig. 1	than SmgGDS-558 in osteosarcoma cell lines (Extended Data Fig.
438	Fig. 1	6a,b). The interaction between Rab22a-NeoF1 and SmgGDS-607
440	Fig. 1	teins (Fig. 5a and Extended Data Fig. 6c,d).
441	Fig. 1	A negatively charged region of SmgGDS is reported to be crucial
442	Fig. 1	for its association with RhoA, as the E254K/D256K double mutant
443	Fig. 1	of SmgGDS-607 diminishes its RhoA-binding ability32–34. This
444	Fig. 1	region of SmgGDS is also important for the interaction between
445	Fig. 1	Rab22a-NeoF1 and SmgGDS, as SmgGDS(E254K/D256K) failed to
446	Fig. 1	bind Rab22a-NeoF1 (Fig. 5b). Moreover, the interaction between
447	Fig. 1	SmgGDS-607 and RhoA was notably diminished in the presence of
448	Fig. 1	Rab22a-NeoF1 (Fig. 5c). These results indicate that Rab22a-NeoF1
449	Fig. 1	influences the binding of SmgGDS-607 to RhoA.
450	Fig. 1	Knockout of SmgGDS using CRISPR–Cas9 and sgRNAs sgSmg-
451	Fig. 1	GDS #1 and sgSmgGDS #2 abolished the increased cell migra-
452	Fig. 1	tion, invasion and adhesion induced by Rab22a-NeoF1; these
453	Fig. 1	effects were rescued by reintroduction of wild-type SmgGDS,
454	Fig. 1	but not SmgGDS(E254K/D256K), into these cells (Fig. 5d,e and
455	Fig. 1	Extended Data Fig. 6e,f). Furthermore, in the orthotopic osteo-
456	Fig. 1	sarcoma metastasis model, the promotion of lung metastases by
457	Fig. 1	ectopic Rab22a-NeoF1 was abrogated by sgSmgGDS #1 and sgSmg-
458	Fig. 1	GDS #2, and knockout of SmgGDS prolonged the survival of mice
459	Fig. 1	bearing tumours overexpressing Rab22a-NeoF1. These pheno-
460	Fig. 1	types were completely restored when wild-type SmgGDS, but not
461	Fig. 1	SmgGDS(E254K/D256K), was reintroduced into these cells (Fig.
462	Fig. 1	5f–i and Extended Data Fig. 6g–j). In addition, adhesion, migra-
463	Fig. 1	tion, invasion and lung metastases were impaired by knocking
464	Fig. 1	down SmgGDS-607 in ZOS-M cells with endogenous expression of
465	Fig. 1	Rab22a-NeoF1 (Extended Data Fig. 7a–g). These results suggest that
466	Fig. 1	the association with SmgGDS-607 is required for Rab22a-NeoF1 to
467	Fig. 1	promote osteosarcoma lung metastasis.
468	Fig. 2	Fig. 2 | Fusion genes containing coding sequences for Rab22a1–38 drive lung metastasis in multiple cancers. a–d, The in vivo orthotopic model of
469	Fig. 2	osteosarcoma metastasis using stable cell lines expressing Rab22a-NeoF2–6 (n = 6 biologically independent animals). a, Representative images of mice.
470	Fig. 2	b, H&E staining of lungs from representative tumour-bearing nude mice, Scale bars, 5 mm. c,d, Quantification of wet lung weight (c) and lung nodules
471	Fig. 2	(d). Data are mean ± s.d. of n = 6 biologically independent animals. P values are shown; two-tailed Student’s t-test. e, RT–PCR of RAB22A-MYO9B
472	Fig. 2	and RAB22A-TEF from BT-474 and HCC2935 cells. Sanger sequence chromatograms are shown in the reading frame. Data are representative of n = 3
473	Fig. 2	biologically independent experiments. Vector, vector-only control. f,g, The effects of different siRNAs targeting RAB22A-MYO9B (f) and RAB22A-TEF
474	Fig. 2	(g) detected by RT–qPCR in BT-474 and HCC2935 cells, respectively. Data are mean ± s.d. of n = 3 biologically independent experiments. P values are
475	Fig. 2	shown; two-tailed Student’s t-test. NC, negative control siRNA. h,i, Detection of RhoA-GTPase activity and the indicated proteins by western blotting
476	Fig. 2	in stable cell lines with silencing of RAB22A-MYO9B (h) or RAB22A-TEF (i). Immunoprecipitation (IP) was performed with Rab22a-N antibody and the
477	Fig. 2	portion of membrane below the 15 kDa marker was blotted (WB) to avoid interference from wild-type Rab22a. Data are representative of n = 3 biologically
479	Fig. 2	mean ± s.d. of n = 3 biologically independent experiments. P values are shown; two-tailed Student’s t-test. siNC, negative control siRNA. k–m, The in vivo
480	Fig. 2	metastasis model using tail-vein injection of the indicated stable cell lines with silencing of RAB22A-MYO9B (n = 6 biologically independent animals). k,
481	Fig. 2	H&E staining of lungs from representative tumour-bearing nude mice. Scale bars, 5 mm. l,m, Quantification of lung nodules (l) and wet lung weights (m).
484	Fig. 2	871
487	Fig. 2	Arg4 and Lys7 of Rab22a-NeoF1 are required for its binding with
488	Fig. 2	SmgGDS-607. We next determined the region of Rab22a-NeoF1 nec-
489	Fig. 2	essary for its association with SmgGDS-607. We first investigated the
490	Fig. 2	Rab22a1–38 moiety, as this region defines the metastasis-promoting
491	Fig. 2	function of Rab22a-NeoF1–6. Indeed, we found that Rab22a1–38
492	Fig. 2	was required for the interaction with SmgGDS-607, as shown by
493	Fig. 2	coimmunoprecipitation from cells and a pull-down assay using puri-
494	Fig. 2	fied SmgGDS-607–His protein (Extended Data Fig. 8a–c). Deletion
495	Fig. 2	of amino acids 1–10 of Rab22a-NeoF1 (Rab22a-NeoF1(Δ1–10)) also
496	Fig. 2	abolished its binding to SmgGDS-607 (Extended Data Fig. 8d). The
498	Fig. 2	ing Rab22a-NeoF1 with deletion of residues 1–38 or residues 1–10
500	Fig. 2	2
501	Fig. 2	3
502	Fig. 2	4
503	Fig. 2	5
504	Fig. 2	6
505	Fig. 2	Rab22a-NeoF
506	Fig. 2	143B
509	Fig. 2	5 mm
510	Fig. 2	5 mm
511	Fig. 2	5 mm
512	Fig. 2	5 mm
513	Fig. 2	5 mm
515	Fig. 2	Rab22a-NeoF2
516	Fig. 2	Rab22a-NeoF3
517	Fig. 2	5 mm
518	Fig. 2	Rab22a-NeoF4
519	Fig. 2	Rab22a-NeoF5
520	Fig. 2	Rab22a-NeoF6
523	Fig. 2	Lung metastasis (nodules)
524	Fig. 2	0
525	Fig. 2	5
526	Fig. 2	10
527	Fig. 2	15
528	Fig. 2	Rab22a-NeoF
529	Fig. 2	P = 0.0004
530	Fig. 2	P = 0.0001
531	Fig. 2	P < 0.0001
532	Fig. 2	P = 0.0006
533	Fig. 2	P = 0.0006
534	Fig. 2	Vector 2
535	Fig. 2	3
536	Fig. 2	4
537	Fig. 2	5
538	Fig. 2	6
539	Fig. 2	0
540	Fig. 2	0.1
541	Fig. 2	0.2
542	Fig. 2	0.3
543	Fig. 2	0.4
544	Fig. 2	Lung wet weight (g)
545	Fig. 2	P = 0.0047
546	Fig. 2	P = 0.0002
547	Fig. 2	P = 0.0003
548	Fig. 2	P = 0.039
549	Fig. 2	P = 0.009
550	Fig. 2	Rab22a-NeoF
552	Fig. 2	RAB22A-MYO9B
553	Fig. 2	RAB22A-TEF
554	Fig. 2	g
556	Fig. 2	siRAB22A-TEF #1
557	Fig. 2	siRAB22A-TEF #2
558	Fig. 2	siRAB22A-TEF #3
559	Fig. 2	siRAB22A-TEF #4
560	Fig. 2	siRAB22A-TEF #5
561	Fig. 2	RAB22A-MYO9B RAB22A
563	Fig. 2	0
564	Fig. 2	0.5
565	Fig. 2	1.0
566	Fig. 2	1.5
568	Fig. 2	P = 0.0004
569	Fig. 2	P = 0.0008
570	Fig. 2	P = 0.0002
571	Fig. 2	P = 0.0015
