line	section	text
162	Results	(Extended Data Fig. 2d). The presence of the RAB22A-NeoF1 tran-
165	Results	and ZOS-M cells (Fig. 3a and Extended Data Fig. 2e,f). To examine
166	Results	endogenous Rab22a-NeoF1 in cell lines and tumour tissues, we gen-
167	Results	erated a Rab22a-NeoF1-specific monoclonal antibody (RAD5-8)
168	Results	and a humanized version (hRAD5-8-v1-R5) using the sequence
169	Results	68QQKSTTPASNHGKSR82 as epitope (Extended Data Fig. 3a). Using
170	Results	ZOS-M cells as a positive control, we showed that hRAD5-8-v1-R5
171	Results	could detect endogenous Rab22a-NeoF1 immunoprecipitated by
172	Results	RAD5-8 antibody from RAB22A-NeoF1-positive T2 tumour tis-
173	Results	sues, but not from RAB22A-NeoF1-negative T3 tumour tissues, as
174	Results	indicated by RT–PCR (Figs. 1b and 3b), although the signal was
175	Results	relatively low, probably because the RAB22A-NeoF1-positive tis-
177	Results	cated by FISH (Fig. 3a). We also designed two siRNAs targeting
178	Results	the inverted intron sequence of DOK5, which efficiently knocked
179	Results	down RAB22A-NeoF1 expression without affecting mRNA levels of
180	Results	RAB22A or DOK5 (Extended Data Fig. 3b). Knockdown of endog-
181	Results	enous Rab22a-NeoF1 inhibited cell migration and invasion in both
183	Results	reintroduction of Rab22a-NeoF1 (Fig. 3c,d and Extended Data Fig.
184	Results	3c,d). Ectopic expression of Rab22a-NeoF1 increased migration and
185	Results	invasion in multiple osteosarcoma cell lines (Fig. 3e and Extended
186	Results	Data Fig. 3e,f). In an in  vivo orthotopic model of osteosarcoma
187	Fig. 1	Fig. 1 | Identification of the chromosomal translocation-derived aberrant Rab22a fusions as the driver for lung metastasis of osteosarcoma. a,
188	Fig. 1	Illustration of RAB22A-NeoF1–6 and their transcripts. Amino acids 1–38 of Rab22a were inversely juxtaposed with six inverted introns or untranslated
189	Fig. 1	regions of chromosome 20, which were designated as Rab22a-NeoF1–6. Length of the translation product in amino acids (aa) is shown. The longest,
190	Fig. 1	Rab22a-NeoF1, was formed by amino acids 1–38 of Rab22a conjugated to the inverted intron sequences between exon 1 and exon 2 of DOK5. Solid black
191	Fig. 1	arrows indicate the orientation of the fused gene. GTA, GAT, and GGATAA denote the start codon, stop codon and the last six bases of the RAB22A fusion
192	Fig. 1	DNAs, respectively. b,c, Left: RT–PCR of RAB22A-NeoF1 (b) and RAB22A-NeoF6 (c) from osteosarcoma tissues (T1 to T5 and T99). ZOS cells served as
193	Fig. 1	the positive control. M, size marker; NC, sterile ddH2O served as the negative control. Right: chromatogram from Sanger sequencing of the PCR product,
194	Fig. 1	showing the reading frame at the break points. Data are representative of n = 3 biologically independent experiments. d, Quantification of migration and
195	Fig. 1	invasion assays using stable cell lines expressing the indicated proteins. Data are mean ± s.d. of n = 3 biologically independent experiments. P values
197	Fig. 1	expressing the indicated proteins (n = 6 biologically independent mice). e, Representative images of mice. f, Haematoxylin and eosin (H&E) staining of
198	Fig. 1	lungs of representative tumour-bearing nude mice. Scale bars, 5 mm. g, Quantification of lung nodules. Data are mean ± s.d. P values are shown; two-tailed
204	Fig. 1	metastasis, ectopic Rab22a-NeoF1 promoted lung metastases
206	Fig. 1	Rab22a-NeoF1 had opposite effects (Fig. 3f–k and Extended Data
207	Fig. 1	Fig. 3g–k). These results were consistent with results obtained using
209	Fig. 1	metastasis (Extended Data Fig. 3l,m).
212	Fig. 1	safe28,29. To efficiently target RAB22A-NeoF1 using siRNA to inhibit
214	Fig. 1	(PEG)-grafted polyethyleneimine (PEI) bearing RAB22A-NeoF1
215	Fig. 1	siRNA (RAB22A-NeoF1 siRNA-PEG-g-PEI). RAB22A-NeoF1
373	Fig. 1	cells that endogenously express Rab22a-NeoF1, but did not
374	Fig. 1	impede cell migration and invasion of U2OS/MTX300 cells that
375	Fig. 1	do not express Rab22a-NeoF1 (Fig. 3l). Of note, RAB22A-NeoF1
377	Fig. 1	those of U2OS/MTX300 cells in the in vivo orthotopic model of
378	Fig. 1	osteosarcoma metastasis (Fig. 3m). Collectively, these results fur-
379	Fig. 1	ther indicate that the functions of endogenous Rab22a-NeoFs are
380	Fig. 1	dominated by Rab22a-NeoF1 in both ZOS and ZOS-M cells, and
381	Fig. 1	that Rab22a-NeoF1 is a potential therapeutic target in patients with
383	Fig. 1	Rab22a-NeoF1 promotes lung metastasis by activating RhoA.
384	Fig. 1	To investigate how Rab22a-NeoF1 drives metastasis, we per-
386	Fig. 1	etry (TAP–MS) to explore the Rab22a-NeoF1 protein interactome.
388	Fig. 1	tasis—such as RhoA, Cdc42 and Rac130,31—in the TAP–MS data
389	Fig. 1	(Extended Data Fig. 4a and Supplementary Table 5). To confirm
390	Fig. 1	the interaction between Rab22a-NeoF1 and Rho family members
391	Fig. 1	(RhoA, RhoB, RhoC, Rac1 and Cdc42), we performed coimmuno-
392	Fig. 1	precipitation using ectopically expressed proteins. Rab22a-NeoF1
394	Fig. 1	with Rac1 or Cdc42, whereas wild-type Rab22a did not coim-
396	Fig. 1	Fig. 4b,c). Ectopic expression of Rab22a-NeoF1 also increased
399	Fig. 1	on RhoB or RhoC (Fig. 4a and Extended Data Fig. 4d). By con-
400	Fig. 1	trast, knockdown of Rab22a-NeoF1 decreased both RhoA–GTP
401	Fig. 1	and membrane-associated RhoA (Fig. 4b). In addition, complexes
402	Fig. 1	containing Rab22a-NeoF1 and RhoA were detectable at both
403	Fig. 1	ectopic and endogenous levels of Rab22a-NeoF1 (Extended Data
404	Fig. 1	Fig. 4e,f). These results indicate that RhoA is a key functional part-
407	Fig. 1	ectopic Rab22a-NeoF1 was abrogated by treatment with short hair-
408	Fig. 1	pin RNAs targeting RhoA (shRhoA #1 and shRhoA #2) or with
409	Fig. 1	the RhoA inhibitor CT04 (Fig. 4c,d and Extended Data Fig. 4g–k).
411	Fig. 1	indromic repeats (CRISPR)–CRISPR-associated protein 9 (Cas9)
412	Fig. 1	with the single guide RNAs (sgRNAs) sgRhoA #1 and sgRhoA #2
413	Fig. 1	abolished Rab22a-NeoF1-induced enhancement of cell migration,
415	Fig. 1	reintroduced into these cells (Extended Data Fig. 5a–c). The impair-
417	Fig. 1	of Rab22a-NeoF1 was rescued by ectopic expression of RhoA in the
418	Fig. 1	cells (Fig. 4e,f). Furthermore, in both the orthotopic osteosarcoma
420	Fig. 1	promotion of lung metastases by ectopic Rab22a-NeoF1 was abro-
421	Fig. 1	gated by shRhoA #1 and shRhoA #2, and knockdown of RhoA pro-
422	Fig. 1	longed the survival of mice induced by Rab22a-NeoF1 (Fig. 4g–j
423	Fig. 1	and Extended Data Fig. 5d–g). Together, these results suggest that
424	Fig. 1	Rab22a-NeoF1 promotes osteosarcoma lung metastasis by activat-
426	Fig. 1	Rab22a-NeoF1 constitutively binds to a negatively charged region
427	Fig. 1	of SmgGDS-607. We further mined the TAP–MS data for infor-
428	Fig. 1	mation on how RhoA is activated by Rab22a-NeoF1. We turned
429	Fig. 1	our attention to RAP1GDS1 (also known as SmgGDS and GDS1),
431	Fig. 1	RhoC32 (Extended Data Fig. 4a). We co-transfected two isoforms
432	Fig. 1	of SmgGDS, SmgGDS-558 and SmgGDS-607, with either Rab22a
433	Fig. 1	or Rab22a-NeoF1 tagged with S protein–Flag–streptavidin-binding
434	Fig. 1	peptide (SFB). Rab22a-NeoF1 exhibited stronger binding than
435	Fig. 1	Rab22a to both SmgGDS-558 and SmgGDS-607, with a preference
436	Fig. 1	for SmgGDS-607 (Fig. 5a). SmgGDS-607 was more highly expressed
437	Fig. 1	than SmgGDS-558 in osteosarcoma cell lines (Extended Data Fig.
438	Fig. 1	6a,b). The interaction between Rab22a-NeoF1 and SmgGDS-607
440	Fig. 1	teins (Fig. 5a and Extended Data Fig. 6c,d).
442	Fig. 1	for its association with RhoA, as the E254K/D256K double mutant
443	Fig. 1	of SmgGDS-607 diminishes its RhoA-binding ability32–34. This
445	Fig. 1	Rab22a-NeoF1 and SmgGDS, as SmgGDS(E254K/D256K) failed to
446	Fig. 1	bind Rab22a-NeoF1 (Fig. 5b). Moreover, the interaction between
447	Fig. 1	SmgGDS-607 and RhoA was notably diminished in the presence of
448	Fig. 1	Rab22a-NeoF1 (Fig. 5c). These results indicate that Rab22a-NeoF1
449	Fig. 1	influences the binding of SmgGDS-607 to RhoA.
450	Fig. 1	Knockout of SmgGDS using CRISPR–Cas9 and sgRNAs sgSmg-
451	Fig. 1	GDS #1 and sgSmgGDS #2 abolished the increased cell migra-
452	Fig. 1	tion, invasion and adhesion induced by Rab22a-NeoF1; these
454	Fig. 1	but not SmgGDS(E254K/D256K), into these cells (Fig. 5d,e and
455	Fig. 1	Extended Data Fig. 6e,f). Furthermore, in the orthotopic osteo-
457	Fig. 1	ectopic Rab22a-NeoF1 was abrogated by sgSmgGDS #1 and sgSmg-
458	Fig. 1	GDS #2, and knockout of SmgGDS prolonged the survival of mice
459	Fig. 1	bearing tumours overexpressing Rab22a-NeoF1. These pheno-
461	Fig. 1	SmgGDS(E254K/D256K), was reintroduced into these cells (Fig.
462	Fig. 1	5f–i and Extended Data Fig. 6g–j). In addition, adhesion, migra-
464	Fig. 1	down SmgGDS-607 in ZOS-M cells with endogenous expression of
465	Fig. 1	Rab22a-NeoF1 (Extended Data Fig. 7a–g). These results suggest that
466	Fig. 1	the association with SmgGDS-607 is required for Rab22a-NeoF1 to
468	Fig. 2	Fig. 2 | Fusion genes containing coding sequences for Rab22a1–38 drive lung metastasis in multiple cancers. a–d, The in vivo orthotopic model of
469	Fig. 2	osteosarcoma metastasis using stable cell lines expressing Rab22a-NeoF2–6 (n = 6 biologically independent animals). a, Representative images of mice.
470	Fig. 2	b, H&E staining of lungs from representative tumour-bearing nude mice, Scale bars, 5 mm. c,d, Quantification of wet lung weight (c) and lung nodules
471	Fig. 2	(d). Data are mean ± s.d. of n = 6 biologically independent animals. P values are shown; two-tailed Student’s t-test. e, RT–PCR of RAB22A-MYO9B
472	Fig. 2	and RAB22A-TEF from BT-474 and HCC2935 cells. Sanger sequence chromatograms are shown in the reading frame. Data are representative of n = 3
473	Fig. 2	biologically independent experiments. Vector, vector-only control. f,g, The effects of different siRNAs targeting RAB22A-MYO9B (f) and RAB22A-TEF
474	Fig. 2	(g) detected by RT–qPCR in BT-474 and HCC2935 cells, respectively. Data are mean ± s.d. of n = 3 biologically independent experiments. P values are
476	Fig. 2	in stable cell lines with silencing of RAB22A-MYO9B (h) or RAB22A-TEF (i). Immunoprecipitation (IP) was performed with Rab22a-N antibody and the
477	Fig. 2	portion of membrane below the 15 kDa marker was blotted (WB) to avoid interference from wild-type Rab22a. Data are representative of n = 3 biologically
479	Fig. 2	mean ± s.d. of n = 3 biologically independent experiments. P values are shown; two-tailed Student’s t-test. siNC, negative control siRNA. k–m, The in vivo
480	Fig. 2	metastasis model using tail-vein injection of the indicated stable cell lines with silencing of RAB22A-MYO9B (n = 6 biologically independent animals). k,
481	Fig. 2	H&E staining of lungs from representative tumour-bearing nude mice. Scale bars, 5 mm. l,m, Quantification of lung nodules (l) and wet lung weights (m).
487	Fig. 2	Arg4 and Lys7 of Rab22a-NeoF1 are required for its binding with
488	Fig. 2	SmgGDS-607. We next determined the region of Rab22a-NeoF1 nec-
489	Fig. 2	essary for its association with SmgGDS-607. We first investigated the
490	Fig. 2	Rab22a1–38 moiety, as this region defines the metastasis-promoting
491	Fig. 2	function of Rab22a-NeoF1–6. Indeed, we found that Rab22a1–38
492	Fig. 2	was required for the interaction with SmgGDS-607, as shown by
494	Fig. 2	fied SmgGDS-607–His protein (Extended Data Fig. 8a–c). Deletion
495	Fig. 2	of amino acids 1–10 of Rab22a-NeoF1 (Rab22a-NeoF1(Δ1–10)) also
496	Fig. 2	abolished its binding to SmgGDS-607 (Extended Data Fig. 8d). The
498	Fig. 2	ing Rab22a-NeoF1 with deletion of residues 1–38 or residues 1–10
708	Fig. 2	(Fig. 6a and Extended Data Fig. 8e,f). Moreover, amino acids 1–10
709	Fig. 2	of Rab22a-NeoF1 were required for its enhancement of cell migra-
710	Fig. 2	tion, invasion and adhesion in both 143B and U2OS/MT300 cells
711	Fig. 2	(Fig. 6b and Extended Data Fig. 9a). In the orthotopic osteosarcoma
712	Fig. 2	metastasis model, amino acids 1–10 of Rab22a-NeoF1 was essential
713	Fig. 2	for the promotion of lung metastases (Fig. 6c–e and Extended Data
714	Fig. 2	Fig. 9b), and deletion of these residues from Rab22a-NeoF1 pro-
715	Fig. 2	longed the survival of these mice (Extended Data Fig. 9c,d).
716	Fig. 2	Amino acids 1–10 of Rab22a-NeoF1 include the positively
717	Fig. 2	charged residues Arg4 and Lys7. As this region binds to the negatively
718	Fig. 2	charged region of SmgGDS-607, we tested whether Rab22a-NeoF1
719	Fig. 2	Arg4 and Lys7 were required for this interaction. In the structure
720	Fig. 2	of full-length Rab22a35, Lys7 is blocked by the main-chain oxygen
721	Fig. 2	atoms of Met73, Tyr74 and Arg76, whereas Arg4 is surface-exposed
722	Fig. 2	(Extended Data Fig. 9e). In Rab22a-NeoF1, however, Arg4 and Lys7
724	Fig. 2	ferences in folding from that of wild-type Rab22a. We mutated Arg4
725	Fig. 2	and Lys7 to Asp or Glu in Rab22a-NeoF1 (R4D/K7D, hereafter DD;
726	Fig. 2	R4E/K7E, hereafter EE). As expected, both DD and EE mutants
727	Fig. 2	of Rab22a-NeoF1 lost the ability to bind to SmgGDS-607 in cells
728	Fig. 2	(Fig. 6f). Furthermore, purified SmgGDS-607–His was pulled
729	Fig. 2	down by Rab22a-NeoF1, but not by the DD mutant (Extended Data
730	Fig. 2	Fig. 9f). Similar to the deletion of Rab22a residues 1–10, none of
731	Fig. 2	the vivo or in vitro phenotypes of Rab22a-NeoF1, such as status of
733	Fig. 2	and survival, were observed with the DD mutant (Fig. 6g–k and
734	Fig. 2	Extended Data Fig. 9g–j). Thus, Arg4 and Lys7 of Rab22a-NeoF1
735	Fig. 2	are required for its binding to SmgGDS-607 to promote lung
736	Fig. 2	metastasis, confirming that the interaction of Rab22a-NeoF1 with
737	Fig. 2	SmgGDS-607 is required for Rab22a-NeoF1 to execute its functions.
738	Fig. 2	The interaction between Rab22a-NeoF1 and SmgGDS-607 is a
740	Fig. 2	synthesized peptides based on amino acids 1–10 of Rab22a-NeoF1
741	Fig. 2	in an attempt to block the functions of Rab22a-NeoF1, as shown in
742	Fig. 2	Fig. 7a. The biotin-labelled peptide (biotin–MALRELKVCL, bio-
745	Fig. 2	of both ZOS and ZOS-M cells that were positive for Rab22a-NeoF1
746	Fig. 2	in a dose-dependent manner (Fig. 7b and Extended Data
747	Fig. 2	Fig. 10a). Moreover, RhoA–GTP levels increased after whole-cell
748	Fig. 2	lysates from 143B cells were incubated in  vitro with either
749	Fig. 2	amino acids 1–38 of Rab22a or Rab22a-NeoF1(WT), but not
752	Fig. 2	(peptide(DD)) (Fig. 7a,c,d). These results also indicated that the
753	Fig. 2	interaction between residues 1–10 of Rab22a-NeoF1 (for example,
754	Fig. 2	peptide(WT)) and SmgGDS-607 is insufficient to activate RhoA;
755	Fig. 2	that is, residues among amino acids 11–38 of Rab22a-NeoF1 are
757	Fig. 2	mutation of Lys18, a conserved residue, to either Asp or Glu did
758	Fig. 2	not affect its binding affinity to SmgGDS-607 (Fig. 7e), but abol-
759	Fig. 2	ished the functions of Rab22a-NeoF1 in RhoA activation, cell
760	Fig. 2	migration, invasion and adhesion in both 143B and U2OS/MT300
763	Fig. 2	to the targeting peptide iRGD36,37. Peptide(WT)–iRGD (here-
765	Fig. 2	iRGD), diminished the interaction between Rab22a-NeoF1 and
766	Fig. 2	SmgGDS-607 in cells (Fig. 7h) and decreased the level of RhoA–
767	Fig. 2	GTP in ZOS-M cells that were positive for Rab22a-NeoF1 and in
768	Fig. 2	143B cells stably expressing Rab22a-NeoF1 (Fig. 7i,j). As both Itgav
769	Fig. 2	and Nrp1, which are required for the function of iRGD in cells, were
770	Fig. 2	detected in osteosarcoma cell lines including 143B, U2OS/MTX300,
771	Fig. 2	ZOS-M and ZOS (Extended Data Fig. 10b), we tested whether
773	Fig. 2	by Rab22a-NeoF1. First, WT–iRGD, but not DD–iRGD, inhib-
775	Fig. 2	143B and U2OS/MTX300 cells stably expressing Rab22a-NeoF1
776	Fig. 2	(Extended Data Fig. 10c–f). Second, WT–iRGD, but not DD–iRGD,
777	Fig. 2	decreased cell migration, invasion and adhesion in both 143B and
778	Fig. 2	U2OS/MTX300 cells stably expressing Rab22a-NeoF1, but not
779	Fig. 2	cells stably expressing the empty vector (Fig. 7k–m). Similarly,
781	Fig. 2	in both ZOS and ZOS-M cells carrying endogenous Rab22a-NeoF1
782	Fig. 2	(Extended Data Fig. 10g). Third, using 143B cells expressing fire-
783	Fig. 2	fly luciferase (143B-Luc cells) and stably expressing Rab22a-NeoF1
787	Fig. 2	sis, as illustrated in Extended Data Fig. 10h. WT–iRGD, but not
789	Fig. 2	time of mice (Fig. 8a–f and Extended Data Fig. 10i–k). Collectively,
791	Fig. 2	between Rab22a-NeoF1 and SmgGDS-607 using these targeting
792	Fig. 2	peptides based on Rab22a(WT) sequence abrogates lung metastasis
793	Fig. 2	induced by Rab22a-NeoF1, and suggest a promising strategy for a
797	Discussion	fusion proteins involving Rab22a1–38, which have a key role in driv-
799	Discussion	that leads to a truncation of Rab22a that includes Rab22a1–38 may
801	Discussion	tions of Rab22a truncations may occur with a frequency higher than
802	Discussion	the 5.4% that we observed in osteosarcoma with metastasis, as we
804	Fig. 3	Fig. 3 | Rab22a-NeoF1 promotes lung metastasis of osteosarcoma. a, FISH analyses of formalin-fixed and paraffin-embedded osteosarcoma tissues. Red,
805	Fig. 3	RAB22A; green, DOK5; yellow, RAB22A-DOK5 fusion (arrows). Scale bars, 5 μm. b, The detection of endogenous Rab22a-NeoF1 protein by hRAD5-8-v1-R5
806	Fig. 3	in immunoprecipitates with the monoclonal antibody RAD5-8 from ZOS-M cells, tumour tissues (T) and corresponding normal tissues (N). ZOS-M is
807	Fig. 3	positive for the RAB22A-NeoF1 fusion gene. T2 and T3 are tumour tissues that are positive and negative for the RAB22A-NeoF1 fusion gene, respectively
808	Fig. 3	(Fig. 1b); N2 and N3 are corresponding normal tissues for T2 and T3, respectively. c, Detection of endogenous Rab22a-NeoF1 protein by western
809	Fig. 3	blotting in the indicated stable cell lines. Data in a–c are representative of n = 3 biologically independent experiments. NC, negative control shRNA.
810	Fig. 3	d,e, Migration and invasion assays using the indicated stable cell lines with shRNAs targeting RAB22A-NeoF1 (d) or overexpression of Rab22a-NeoF1 (e).
811	Fig. 3	Data are mean ± s.d. of n = 3 biologically independent experiments. P values are shown; two-tailed Student’s t-test. NC, negative control shRNA. Vector,
812	Fig. 3	vector-only control. f–k, The in vivo orthotopic model of osteosarcoma metastasis with the indicated stable cell lines with expression of Rab22a-NeoF1
813	Fig. 3	(f–h) or knockdown of RAB22A-NeoF1 (i–k) (n = 6 biologically independent animals). f,i, Representative images of mice. g,j, H&E staining of the lungs
814	Fig. 3	from representative tumour-bearing nude mice. Scale bars, 5 mm. h,k, Quantification of lung nodules. Data are mean ± s.d. P values are shown; two-tailed
816	Fig. 3	nanoparticles. Data are mean ± s.d. of n = 3 biologically independent experiments. P values are shown; two-tailed Student’s t-test. siNC, negative control
818	Fig. 3	the indicated nanoparticles (n = 6 biologically independent mice). NC, negative control siRNA.
824	Fig. 3	the cBio data portal and in both BT-474 and HCC2935 cell lines
825	Fig. 3	from the CCLE RNA-seq dataset (Supplementary Tables 3 and 4).
826	Fig. 3	Fusions of gene sequence encoding Rab22a1–38 with different genes
827	Fig. 3	were also functional in these cell lines (Fig. 2h–m), indicating
828	Fig. 3	that gene fusions containing the Rab22a1–38 sequence occur and
1246	Fig. 4	Fig. 4 | Rab22A-NeoF1 executes its functions by activating RhoA. a,b, Detection of Rho–GTP and membrane RhoA (RhoA-mem) in the indicated stable
1247	Fig. 4	cell lines by western blotting. Data are representative of n = 3 biologically independent experiments. NC, negative control shRNA. Vector, vector-only
1248	Fig. 4	control. c–f, Migration and invasion (c,e) and adhesion (d,f) assays using the indicated stable cell lines. Data are mean ± s.d. of n = 3 biologically
1250	Fig. 4	orthotopic model of osteosarcoma metastasis using the indicated stable cell lines (n = 6 biologically independent animals). g, Representative images of
